날짜,과제코드,비목,항목,금액,담당자,비고
2026-04-03,P-101,재료비,시약 구매,2840000,최민호,정기 발주
2026-04-11,P-102,재료비,원료 구매,7120000,이수진,기존 벤더
2026-04-18,P-103,장비비,분석장비 교정,1350000,강해린,연 1회
2026-04-25,P-101,여비,국내 학회 참가,620000,최민호,춘계학술대회
2026-05-08,P-102,재료비,소모품,980000,이수진,
2026-05-15,P-104,기타,외부 분석 의뢰,3300000,박정우,공동연구 사전검토
2026-05-22,P-101,재료비,표준물질,4200000,최민호,수입 통관 지연
2026-05-29,P-103,재료비,시약 구매,1760000,강해린,
2026-06-05,P-102,장비비,반응기 부품 교체,2450000,이수진,긴급
2026-06-12,P-101,재료비,시약 구매,3010000,최민호,
2026-06-19,P-104,기타,법무 자문료,1500000,박정우,계약 검토
2026-06-26,P-103,재료비,소모품,870000,강해린,
2026-07-03,P-102,재료비,원료 구매,8340000,이수진,단가 인상 반영
2026-07-10,P-101,장비비,장비 유지보수,1980000,최민호,
2026-07-14,P-103,기타,다과 및 사무용품,307000,강해린,경비 정산
2026-07-17,P-104,여비,국내 출장,626000,박정우,B연구원 방문
2026-07-22,P-102,재료비,대체 벤더 샘플,1120000,이수진,A사 3배치
2026-07-24,P-101,재료비,시약 구매,2650000,최민호,
